name,address1,address2,city,phone,longitude,latitude,state,storeType
명동점,서울특별시 중구 명동8길 16-1,(명동2가) 컨버스,중구,02-318-0490,126.9845304,37.562928,서울특별시,단독매장
코엑스점,서울특별시 강남구 영동대로 513,(삼성동 코엑스몰 G109호) 컨버스,강남구,02-6002-3030,127.058853,37.5124878,서울특별시,단독매장
광복점,부산광역시 중구 광복로 81,(광복동1가) 컨버스,중구,051-242-1129,129.0338077,35.0986561,부산광역시,단독매장
두타점,서울특별시 중구 장충단로 275,두산타워 지하1층 012호 컨버스,중구,02-3398-4041,127.0000429,37.5689307,서울특별시,백화점/쇼핑몰
신세계하남점,경기도 하남시 미사대로 750,스타필드 하남 신세계백화점 3층 컨버스,하남시,031-8072-1383,127.223519,37.546195,경기도,백화점/쇼핑몰
롯데본점점,서울특별시 중구 소공동 1,롯데백화점 7층 컨버스,중구,02-772-3432,126.9809533,37.5646602,서울특별시,백화점/쇼핑몰
롯데잠실점,서울특별시 송파구 잠실3동 40-1,롯데백화점 7층 컨버스,송파구,02-2143-7515,127.0980427,37.5112793,서울특별시,백화점/쇼핑몰
롯데영등포점,서울특별시 영등포구 영등포동 618-496,롯데백화점 7층 컨버스,영등포구,02-2164-6025,126.9074922,37.5154911,서울특별시,백화점/쇼핑몰
롯데노원점,서울특별시 노원구 상계2동 713,롯데백화점 8층 컨버스,노원구,02-950-2688,127.0611234,37.6551638,서울특별시,백화점/쇼핑몰
롯데강남점,서울특별시 강남구 대치동 937,롯데백화점 강남점 7층 컨버스,강남구,02-531-2746,127.053306,37.4969427,서울특별시,백화점/쇼핑몰
롯데미아점,서울 강북구 미아동 70-6,롯데백화점 미아점 5층,강북구,02-944-2565,127.030488,37.614628,서울특별시,백화점/쇼핑몰
롯데중동점,경기도 부천시 원미구 중동 1140,롯데백화점 중동점 7층 컨버스,부천시,032-320-7782,126.7731259,37.5026915,경기도,백화점/쇼핑몰
롯데분당점,경기도 성남시 분당구 수내동 14,롯데백화점 4층 컨버스,성남시,031-738-2532,127.1142654,37.3784452,경기도,백화점/쇼핑몰
롯데수원점,경기도 수원시 권선구 세화로 134,롯데백화점 5층 컨버스,수원시,031-8066-0552,126.9973654,37.2642637,경기도,백화점/쇼핑몰
롯데평촌점,경기도 안양시 동안구 호계동 1039,롯데백화점 5층 컨버스,안양시,031-8086-9527,126.9516028,37.390835,경기도,백화점/쇼핑몰
롯데광복점,부산광역시 중구 중앙대로 2,롯데백화점 광복점 아쿠아몰 7층 컨버스,중구,051-678-3794,129.0344865,35.0984801,부산광역시,백화점/쇼핑몰
