product_id,group
167677C,2
167678C,2
167645C,2
167642C,2
167827C,2
167826C,2
167702C,2
167910C,2
167911C,2
167915C,2
167912C,2
167708C,2
167709C,2
167673C,2
167669C,2
167819C,2
167821C,2
167813C,2
167810C,2
167811C,2
167812C,2
167862C,2
167701C,2
167703C,2
167700C,2
165024C,2
163407C,2
167750C,2
167749C,2
162054C,2
162063C,2
566751C,2
162350C,2
162351C,2
163343C,2
166713C,2
166712C,2
167071C,2
167072C,2
166861C,2
167345C,2
167346C,2
166854C,2
166853C,2
166855C,2
166749C,2
166747C,2
166703C,2
166702C,2
167106C,2
166851C,2
166849C,2
166850C,2
166825C,2
166824C,2
166827C,2
166826C,2
164952C,2
164947C,2
164950C,2
164945C,2
164951C,2
164946C,2
164949C,2
164944C,2
162065C,2
162056C,2
162062C,2
162053C,2
162058C,2
162050C,2
