code,size_list
10018853-A02,90
10018853-A02,95
10018853-A02,100
10018853-A02,105
10018853-A02,110
10020856-A01,90
10020856-A01,95
10020856-A01,100
10020856-A01,105
10020856-A01,110
10020856-A02,90
10020856-A02,95
10020856-A02,100
10020856-A02,105
10020856-A02,110
10020849-A01,90
10020849-A01,95
10020849-A01,100
10020849-A01,105
10020849-A01,110
10019604-A02,90
10019604-A02,95
10019604-A02,100
10019604-A02,105
10019604-A02,110
10019604-A03,95
10019604-A03,100
10019604-A03,105
10019604-A03,110
10019604-A01,90
10019604-A01,95
10019604-A01,100
10019604-A01,105
10019604-A01,110
10018841-A04,90
10018841-A04,95
10018841-A04,100
10018841-A04,105
10018841-A04,110
10018841-A03,90
10018841-A03,95
10018841-A03,100
10018841-A03,105
10018841-A03,110
10008476-A19,FREE
10018940-A01,80
10018940-A01,85
10018940-A01,90
10018940-A07,80
10018940-A07,85
10018940-A07,90
10017759-A04,80
10017759-A04,85
10017759-A04,90
10017759-A03,80
10017759-A03,85
10017759-A03,90
10019896-A03,95
10019896-A03,100
10019896-A03,105
10019896-A02,90
10019896-A02,95
10019896-A02,100
10019896-A02,105
10019896-A01,90
10019896-A01,95
10019896-A01,100
10019896-A01,105
10018568-A02,90
10018568-A02,95
10018568-A02,100
10018568-A02,105
10018568-A02,110
10018568-A01,90
10018568-A01,95
10018568-A01,100
10018568-A01,105
10018568-A01,110
10019895-A02,90
10019895-A02,95
10019895-A02,100
10019895-A02,105
10019895-A02,110
10019895-A01,90
10019895-A01,95
10019895-A01,100
10019895-A01,105
10019895-A01,110
10007887-A03,90
10007887-A03,95
10007887-A03,100
10007887-A03,105
10007887-A03,110
10020394-A01,Free Size
10020394-A02,Free Size
10018901-A01,FREE
10018896-A02,FREE
10018896-A01,FREE
10018969-A01,FREE
10018968-A01,FREE
10017263-A09,FREE
10018985-A01,FREE
10018468-A01,Free Size
10018446-A03,FREE
10018973-A01,FREE
10018972-A01,FREE
10018975-A01,FREE
10018446-A01,FREE
10017263-A01,FREE
10017262-A01,FREE
10017261-A01,FREE
10017015-A02,FREE
10008476-A02,FREE
10008476-A01,FREE
10017015-A05,FREE
10007887-A04,90
10007887-A04,95
10007887-A04,100
10007887-A04,105
10007887-A04,110
10007887-A01,95
10007887-A01,100
10007887-A01,105
10007887-A01,110
10008505-A01,FREE
10007784-A01,FREE
10008276-A01,FREE
10018334-A02,FREE
10018334-A01,FREE
10018446-A02,FREE
10000998-A22,FREE
10001016-A22,Free Size
10018448-A01,FREE
10018457-A02,FREE
10018451-A01,FREE
10017895-A03,Free Size
